name,real_name,ring_names,Stable&Team,height,weight,birth_date,birth_place,billed_from,trainer,finisher
#RAW
Akira Tozawa,Akira Tozawa,Akira Tozawa,Alpha Academy,171cm,71kg,1985-07-22,"Nishinomiya, Hyogo, Japan","Kobe, Japan",Kenichiro Arai | Masaaki Mochizuki,Diving Senton
Angelo Dawkins,Gary Gordon,Angelo Dawkins,Street Profits,196cm,120kg,1990-07-24,"Fairfield, Ohio, U.S.","Cincinnati, Ohio",WWE Performance Center,From The Heavens
Austin Theory,Austin Tyler White,Austin Theory,The Vision,185cm,100kg,1997-08-02,"McDonough, Georgia, U.S.","Atlanta, Georgia",AR Fox | WWA4 Wrestling School | WWE Performance Center,A-Town Down
Tyler Bate,Tyler Bate,Arthur Klauser-Saxon | Bravo Americano | Elephant Mask | Tyler Bate | The Big Strong Boi,Los Americanos,170cm,80kg,1997-03-07,"Dudley, West Midlands, England","Dudley, England",Dave Mastiff | Trent Seven,Tyler Driver 97
Big Cass, William "Bill" Morrissey,Big Cass | Big Bill | Big C | Colin Cassidy | caZXL | W.Morrissey,,193cm,140kg,1986-08-16,"New York, U.S.","Cincinnati, Ohio",WUW,Running Big Boot | Chokeslam | East River Crossing
Bron Breakker,Bronson Rechsteiner,Bron Breakker | Rex Steiner,The Vision,183cm,113kg,1997-10-24,"Woodstock, Georgia, U.S.","Atlanta, Georgia | Woodstock, Georgia",WWE Performance Center,Spear
Bronson Reed,Jermaine Haley,Bronson Reed | Jermaine Haley | JONAH | J-Rock | Jonah | Jonah Rock,The Vision,183cm,150kg,1988-08-25,"Adelaide, Australia","Melbourne, Victoria",WWE Performance Center | Mark Mercedes | Shane Haste | TMDK,Tsunami | Jagged Edge
Brutus Creed,Drew Allan Kasper,Brutus Creed | Drew Kasper,Creed Brothers,180cm,128kg,1996-05-13,"Rexington, Ohio, U.S.","Cincinnati, Ohio",WWE Performance Center,Brutus Ball
Chad Gable,Charles Edward Betts,Chad Gable | Shorty G | Original El Grande Americano,,173cm,92kg,1990-07-24,"Minneapolis, Minnesota, U.S.","Minneapolis, Minnesota | Gulf of Mexico | Gulf of America",Arik Cannon | Bill DeMott | Billy Gunn | Dusty Rhodes | Joey Mercury | Matt Bloom | Mike Quackenbush | Norman Smiley,American Automatic | Ancle Lock
Cruz Del Toro,Raúl Mendoza,Cruz Del Toro | Jinzo | Raul Mendoza | Ronnie Mendoza | Tribal,Latioa World Order,178cm,75kg,1991-09-16,"Córdoba, Veracruz,Mexico","Córdoba, Veracruz",Angel del Futuro | Black Tiger | Gran Apache | El Mexicano | Ricky Marvin | Simba I,Jarocho 4:50
Dominik Mysterio,Dominik Óscar Gutiérrez,Dominik Mysterio,Judgement Day,185cm,81kg,1997-04-05,"San Diego, California, U.S.","San Diego, California, U.S.",Jay Lethal | Konnan | Lance Storm | Rey Mysterio | WWE Performance Center,619 | Frog Splash
