Name,real_name,ring_name,korean_ring_name,role,gender,birth_date,birth_place,wrestling_experience,Wrestler&Team&Stable
# Executives
Nick Khan,Nichoas Khan,Nick Khan,닉 칸,President & Chief Revenue Officer,M,1974-??-??,United States,No,
Triple H,Paul Michael Levesque,Triple H | Hunter Hearst Helmsley | Reginald DuPont Helmsley | Hean-Paul Levesque | Terra Ryzing | Terra Risin' | Terror Rising,트리플 H,Chief Commercial Officer,M,1969-07-27,"Greenwich, Connecticut, United States",Wrestler | NXT Crearive Director,
Bruce Prichard,Bruce Prichard,Brother Love | Bruce Prichard,브루스 프리차드,Executive,M,1963-03-07,"El Paso, Texas, United States",Director | Booker | Producer,
Shawn Michaels,Michael Shawn Hickenbottom,Shawn Michaels,숀 마이클스,Senior Vice President of Talent Development & Creative | NXT Creative Director,M,1965-07-22,"Chandler, Arizona, United States",Wrestler | Trainer,
William Regal,Darren Kenneth Matthews,William Regal | Steven Regal | Lord Steven Regal | Darren Matthews | Hellraiser,윌리엄 리갈,Vice President of Talent Development & Head of Global Recruiting | Manager,M,1968-05-10,"Codsall Wood, Staffordshire, England",Wrestler | Trainer,Birthright
# RAW
Adam Pearce,Adam John Pearce,Adma O.Brien | El Hijo do Matt Classic | Masked Spymaster II | Scrap Iron Adam Pearce | U.S. Marshal Adam J. Pearce | Tommy Lee Ridgeway | Adam Pearce,애덤 피어스,RAW GM | Trainer | Producer,M,1978-06-24,"Lake Forrest, Illinois, United States",Wrestler,
Michael Cole,Michael Sean Coulthard,Michael Cole,마이클 콜,Commentator | Vice President of Announcing,M,1966-12-08,"Syracuse, New York, United States",Backstage Interviewer,
Coret Graves,Mattew Polinsky,Corey Gaves,코리 그레이브스,Commnetator,M,1984-02-24,"Pittsburgh, Pennsylvania, United States",Wrestler,
Alicia Taylor,Alicia Warrington,Alicia Taylor,알리시아 테일러,Ring Announcer,W,1980-08-30,"Saginaw, Michigan, United States",No,
Cathy Kelley,Catherine Anne Kelley,Cathy Kelley,캐시 켈리,Back Interviewer,W,1988-09-27,"Oak Park, Illinois, United States",No,
Sarah Scheriber,Sarah Schreiber,Sarah Schreiber,사라 슈라이버,Backstage Interviewer,W,1983-05-31,"Nutley, New Jersey, United States",No,
Jackie Redmond,Jackie Redmond,Jackie Redmond,재키 레드몬드,Backstage Inerviewer,W,1987-04-12,"Halifax, Nova Scotia, Canada",No,
Paul Heyman,Paul Heyman,Paul Heyman | Paul E. Dangerously,폴 헤이먼,Manager | Producer,M,1965-09-11,"Scarsdale, New York, United States",ECW Promoter | Commentator,The Vision
# Raw Referee
Chad Patton,Chad Patton,Chad Patton,채드 패튼,Senior,M,,,No,
Danilo Anfibio,Danilo Anfibio,Danilo Anfibio,다닐로 안피비오,,M,,,No,
Eddie Orengo,Eddie Orengo,Eddie Orengo,에디 오렝고,,M,,,No,
Jessika Carr,Jessika Heiser,Jessika Carr | Kalyx,제시카 카,,W,1991-06-25,"Baltimore, Maryland, United States",Wrestler,
John Cone,John Cone,John Cone,존 콘,Vice President of Talent Relations,M,1974-11-16,"Kansas City, Missoui, United States",No,
Rod Zapata,Robert Vista,Rod Zapata | Rod Vista,로드 자파타,,M,,"Cerritos, California, United States",No,
Shawn Bennett,Matt Bennett,Shawn Bennett,숀 베넷,,M,,"Orlando, Florida, United States",No,
# Smackdown
Nick Aldis,Nichoas Nick Aldis,Magnus | Brutus Magnus | Nick Aldis,닉 알디스,Smackdown GM | Producer,M,1986-11-06,"Docking, Norfolk, United Kingdom",Wrestler,
Wade Barrett,Stuart Alexander Bennett,Bad News Barrett | King Barrett | Lawrence Knight | Pinnacle | Stu Bennett | Stu Sanders | Wade Barrett,웨이드 바렛,Commentator,M,1980-08-10,"Penwortham, Lancashire, United Kingdom",Wrestler,
Joe Tessitore,Joe Tessitore,Joe Tessitore,조 테시토레,Commentator,M,1971-01-01,"Schenectady,New York, United States",No,
Lilian Garcia,Lilian Annette Garcia,Lilian Garcia,릴리안 가르시아,Ring Announcer,W,1966-08-19,"Madrid, Spain",No,
Mark Nash,Mark Shunock,Mark Nash,마크 내쉬,Ring Announcer,M,1977-04-02,"Sault Ste. Marie, Ontario, Canada",No,
Byron Saxton,Bryan Jesus Kelly,Bryan Kelly | Michael Cade | Byron Saxton,바이런 색스턴,Backstage Interviewer,M,1984-09-13,"Burke, Virginia, United States",Wrestler,
Megan Morant,Megan Morant,Megan Morant,메간 모란트,Backstage Interviewer | WWE Youtube Host,W,1994-07-21,"Chicago, Illinois, Unites States",No,
Haku,Tonga 'Uli'uli Fifita,King Haku | King Tonga | Meng | Tama Tonga | Haku,하쿠,Manager,M,1959-02-10,"Nuku'alofa, Tonga",Wrestler,The Tongans
Lil Yachty,Miles Parks McCollum,Lil Yachty,릴 야티,Manager,M,1997-08-23,"Mableton, Georgia, United States",No,Trick Williams
# Smackdown Referee
Charles Robinson,Charles Shane Robinson,Charles Robinson,찰스 로빈슨,Senior,M,1964-07-02,"Charlotte, North Carolina, United States",Wrestler,
Dan Engler,Daniel Engler,Dan Engler,댄 엥글러,,M,1977-11-20,"Evansville, Indiana, United States",No,
Daphanie Lashaunn,Aja Smith,Aja Perera | Momoe-chan | Aja Smith | Daphanie Lashaunn,다파니 로숀,,W,1994-06-09,"Aracaju, Brazil",Wrestler,
Gary Wilson,Gary Wilson,Fast Eddie | Fast Franken | Gary Wilson,개리 윌슨,,M,,United States,Wrestler,
Jason Ayers,Jason Marc Ayers,Jason Ayers,제이슨 에이어스,,M,1982-01-13,"Havelock, North Carolina, United States",Wrestler
Ryan Tran,Bryan Nguyen,Ryan Tran,라이언 트란,,M,1981-09-25,Malaysia,Wrestler,
# NXT
Robert Stone,Robert Strauss,Robert Strauss | Mr.Sacowea | Rob Eckos | Robbie E | Mr.Stone | Robert Stone,로버트 스톤,NXT GM | Producer,M,1983-10-01,"Alpine, New Jersey, United States",Wrestler | Manager,
Booker T,Booker Tio Huffman Jr.,Black Snow | Booker | King Booker | Kole | Booker T,부커 T,Commentator,M,1965-03-01,"Plain Dealing, Louisiana, United States",Wrestler,
Vic Joseph,Victor Travagliante,Vic Travagliante | Vic Joseph,빅 조셉,Commentator,M,1985-07-08,"Cleveland, Ohio, United States",No,
Blake Howard,Blake Chadwick,Blake Chadwick | Blake Howard,블레이크 하워드,Ring Announcer,M,,"Norfolk, Virginia, United States",No,
Mike Rome,Austin Michael Romero,Mike Rome,마이크 롬,Ring Announcer,M,1981-10-08,"San Diego, California, United States",Backstage Interviewer,
Finlay,David John Finlay Jr.,The Belfast Bruiser | Dave Finlay | Fit Finlay | Sir Finlay | Finlay,핀레이,Manager,M,1958-01-31,"Belfast, North Ireland",Wrestler,Birthright
# NXT Referee
Adrian Butler,Darryl Sharma,Hornet | Black Hornet | Darryl Sharma | Adrian Butler,아드리안 버틀러,Senior | Producer,M,1984-09-30,"Toronto, Ontario, Canada",Wrestler | Trainer,
Chip Danning,Christopher Sharpe,Chris Sharpe | Chip Danning,칩 대닝,,M,1988-02-16,"Richmond, Virginia, United States",Wrestler,
Dallas Irvin,Antrone Brewer,DA Brewer | Da Fireman | Antrone Brewer | Dallas Irvin,댈러스 어빈,,M,1980-07-25,"Thomson, Georgia, United States",Wrestler,
Derek Sanders,Thomas Castor,Tom Castor | Derek Sanders,데렉 샌더스,,M,1978-05-02,"San Jose, California, United States",No,
Felix Fernandez,Felix Fernandez,Sammy Miami | Felix Fernandez,펠릭스 페르난데즈,,M,1997-03-14,"New Jersey, United States",Wrestler,
Jeremy Marcus,Jeremy Marcus,Jeremy Marcus,제레미 마커스,,M,,United States,No,
Joey Gonzalez,Joey Gonzalez,Vinny Wasco | Joey Gonzalez,조이 곤잘레즈,,M,1997-12-19,"Wasco, California, United States",Wrestler,
Katie Reynolds,,Katie Reynolds,케이티 레이놀즈,,W,,,No,
Victoria D'Errico,Victoria D'Errico,Victoria D'Errico,빅토리아 디에리코,,W,,"New Providence, Rhode Island, United States",No,
# Evolve
Timothy Thatcher,Timothy Andrew Moura,Tim Moura | Bryce Braxton-Collins | Timothy Thatcher,티모시 대처,Evolve GM,M,1983-03-17,"Alameda Country, California, United States",Wrestler,
Chuey Martinez,Chuey Martinez,Chuey Martinez,츄이 마르티네즈,Backstage Interviewer,M,,"Burbank, California, United States",No,
Peter Rosenberg,Peter Rosenberg,Peter Rosenberg,피터 로젠버그,Commentator,M,1979-07-23,"Chevy Chase, Maryland, United States",No,
Ryan Katz,Ryan Katz,G.Q.Money | Devilish Lee Handsome | Fabian Kaelin | The Lemon | Minion | Rak Rixelplix | Stylez Monroe | Ryan Katz,라이언 카츠,Ring Announcer | Producer,M,1976-10-14,"Buffalo Grove, Illinois, United States",Wrestler | Promoter | Manager,
