name,korean_name,gender,card,alignment,play_style,sub_styles,claimed_styles,birth_date,note,finisher_ko,signature,signature_ko
Akira Tozawa,아키라 토자와,male,mid,face,high_flyer,strong_style,,1985-07-22,,다이빙 센톤,Fake Right Hook | Shining Wizard,페이크 라이트 훅 | 샤이닝 위자드
Angelo Dawkins,안젤로 도킨스,male,mid,face,powerhouse,brawler,,1990-07-24,,프롬 더 헤븐스 | 스카이 하이,Pop-Up Spinebuster,팝업 스파인버스터
Austin Theory,오스틴 씨어리,male,mid,heel,all_rounder,,,1997-08-02,,A-타운 다운 | 스톰프,Ataxia | Rolling Thunder Drop Kick | ATL,아탁시아 | 롤링 썬더 드롭킥 | ATL
Tyler Bate,브라보 아메리카노 | 타일러 베이트,male,mid,face,high_flyer,technician|all_rounder|lucha_libre,,1997-03-07,,타일러 드라이버 97 | 스피닝 보이,Rebound Lariat | Fake Elbow,리바운드 래리어트 | 페이크 엘보
Big Cass,빅 캐스,male,mid,heel,giant,,,1986-08-16,,러닝 빅 붓 | 초크슬램,East River Crossing | Empire Elbow,이스트 리버 크로싱 | 엠파이어 엘보
Bron Breakker,브론 브레이커,male,mid,heel,powerhouse,all_rounder,,1997-10-24,,스피어 | 스타이너 리클라이너,Top Rope Frankensteiner | Millitary Press Powerslam | Clothesline,탑 로프 프랑켄슈타이너 | 밀리터리 프레스 파워슬램 | 클로스라인
Bronson Reed,브론슨 리드,male,upper,heel,all_rounder,technician|powerhouse,,1988-08-25,,쓰나미 | 재그드 엣지,Death Drop Driver | King Kong Lariat | Running Senton,데스 드랍 드라이버 | 킹콩 래리어트 | 러닝 센턴
Brutus Creed,브루투스 크리드,male,low,heel,all_rounder,technician,,1996-05-13,,브루투스 볼,Gutwrench Suplex,것렌치 수플렉스
Chad Gable,채드 게이블,male,mid,face,technician,all_rounder|submissions,,1990-07-24,,아메리칸 오토매틱 | 앵클 락,Diving Headbutt | Moonsault,다이빙 헤드벗 | 문설트
Cruz Del Toro,크루즈 델 토로,male,low,face,lucha_libre,high_flyer,,1991-09-16,,자로코 4:50,Leg-Hooked Fisherman Driver,레그-훅드 피셔맨 드라이버
Dominik Mysterio,도미닉 미스테리오,male,mid,heel,lucha_libre,brawler|heel_style,,1997-04-05,,619 | 프로그 스플래쉬,Tope Atomico | Michinoku Driver | Three Amigos,토페 아토미코 | 미치노쿠 드라이버 | 쓰리 아미고스
Dragon Lee,드래곤 리,male,mid,face,technician,lucha_libre|high_flyer,,1995-05-15,,플라잉 러닝 엘보 | 스타일스 클래쉬 | 오퍼레이션 드래곤,Slingshot Single Leg Drop Kick | Tope Con Giro | Super Kick | Suicide Dive | Tree Of Double Foot Stomp | Flatover Sit-out Powerbomb,슬링샷 싱글 레그 드롭킥 | 토페 콘 히로 | 슈퍼킥 | 트리 오브 더블 풋 스톰프 | 수어사이드 다이브 | 플랫오버 싯아웃 파워밤
Ludwig Kaiser,엘 그란데 아메리카노 | 루드비히 카이저,male,mid,heel,lucha_libre,heel_style,,1991-07-08,,라 카베르나리아 | 헤드벗,Running Enzuigiri,러닝 엔즈이기리
Erik,에릭,male,low,tweener,powerhouse,brawler,,1984-08-21,,워 머신 | 바이킹 익스피리언스,Gutwrench Powerbomb | German Suplex,것렌치 파워밤 | 저먼 수플렉스
Ethan Page,에단 페이지,male,mid,heel,all_rounder,,,1989-09-20,,이고-플렉스,Strikes | Toss Out | Shitonite | Ego's Edge,스트라이크스 | 토스 아웃 | 시토나이트 | 이고스 엣지
Ivar,아이바,male,low,tweener,powerhouse,high_flyer,,1984-03-03,,워 머신 | 바이킹 익스피리언스 | 문설트,Spin Kick of Doom,스핀 킥 오브 둠
Jacob Fatu,제이콥 파투,male,mid,heel,brawler,monster|all_rounder,,1992-04-18,,마이티 문설트 | 통간 데스 그립,Pop-Up Samoan Drop | Swanton Bomb | Wrecking Ball | Super Kick,팝업 사모안 드롭 | 스완턴 밤 | 레킹 볼 | 슈퍼킥
JD McDonagh,JD 맥도나,male,mid,heel,technician,heel_style|hard_hitting,,1990-03-15,,데블 인사이드 | 문설트,Headbutt | 450 Splash | Running Knee | Spanish Fly,헤드벗 | 450 스플래시 | 러닝 니 | 스패니쉬 플라이
Je'Von Evans,지본 에반스,male,mid,face,high_flyer,,,2004-04-29,,OG 커터 | 홀드 잇 인 더 로드,Robinson Special | Rebound Enzuigiri Kick | Rebound Hurricanrana | Avalanche Hurricanrana | Springboard Clothesline | Frog Splash | Tope Con Giro | Superman Punch | Super Kick,로빈슨 스페셜 | 리바운드 엔즈이기리 킥 | 리바운드 허리케인라나 | 아발란체 허리케인라나 | 스프링보드 클로스라인 | 프로그 스플래시 | 토페 콘 히로 | 슈퍼맨 펀치 | 슈퍼킥
Jey Uso,제이 우소,male,mid,heel,showman,,,1985-08-22,,우소 스플래시 | 스피어 | 슬리퍼 홀드,Super Kick | Samoan Drop | Enzuigiri,슈퍼킥 | 사모안 드롭 | 엔즈이기리
Jimmy Uso,지미 우소,male,mid,heel,showman,,,1985-08-22,,우소 스플래시,Super Kick | Samoan Drop | Whisper In The Wind | Enzuigiri,슈퍼킥 | 사모안 드롭 | 위스퍼 인 더 윈드 | 엔즈이기리
Joaquin Wilde,호아킨 와일드,male,low,face,high_flyer,,,1986-10-05,,,Filipino Destroyer | Bible Black,필리피노 디스트로이어 | 바이블 블랙
Joe Hendry,조 헨드리,male,mid,face,powerhouse,technician|showman,,1988-05-01,,스탠딩 오베이션,Freak of Nature | Hendry Slam | Hendry Lock,프릭 오브 네이처 | 헨드리 슬램 | 헨드리 락
Julius creed,줄리우스 크리드,male,low,heel,all_rounder,technician,,1994-10-03,,슬라이딩 래리어트 | 브루투스 볼,Stretch Muffler | German Suplex,스트레치 머플러 | 저먼 수플렉스
LA Knight,LA 나이트,male,upper,face,all_rounder,showman,,1982-11-01,,BFT,Skylord Slam | Superflex | Neck Breaker | Megastar's Elbow,스카이로드 슬램 | 슈퍼플렉스 | 넥 브레이커 | 메가스타 엘보
Logan Paul,로건 폴,male,upper,heel,strong_style,high_flyer,,1995-04-01,,프로그 스플래시 | 원 럭키 펀치 | 브래스 너클 샷 | 폴버라이저,Three Amigos | Spanish Fly | Crossmoon Combo | Buckshot Lariat,쓰리 아미고스 | 스패니시 플라이 | 크로스문 콤보 | 벅샷 래리어트
Montez Ford,몬테즈 포드,male,mid,face,high_flyer,showman,,1990-05-31,,프로그 스플래시,Standing Shooting Star Press | Blockbuster,스탠딩 슈팅 스타 프레스 | 블록버스터
Oba Femi,오바 페미,male,upper,face,powerhouse,,,1998-04-22,,폴 프롬 그레이스,Uppercut | Running European Uppercut | Forehand Chop | Back Suplex Toss | Chokeslam | Irish Curse,어퍼컷 | 러닝 유로피언 어퍼컷 | 백 수플렉스 토스 | 초크슬램 | 아이리쉬 커스
Otis,오티스,male,mid,face,powerhouse,showman,,1991-12-21,,도저 밤 | 다이빙 스플래시,Caterpillar,캐터필러
Penta,펜타,male,mid,face,lucha_libre,brawler|all_rounder,,1985-02-26,,멕시칸 디스트로이어 | 펜타 드라이버 | 피어 팩터,Forehand Chop | Sling Blade | Caballette | Lung Blower | Tope Con Giro | Super Kick | The Sacrifice,포어핸드 찹 | 슬링 블레이드 | 카바예트 | 렁 블로워 | 토페 콘 히로 | 슈퍼킥 | 더 새크리파이스
Pete Dunne,라요 아메리카노 | 피트 던,male,mid,heel,heel_style,brawler|submissions|lucha_libre,,1993-11-09,,비터 엔드,X-Plex | Michinoku Driver II | Tiger Suplex,엑스플렉스 | 미치노쿠 드라이버 II | 타이거 수플렉스
Rey Mysterio,레이 미스테리오,male,mid,face,lucha_libre,underdog|high_flyer,,1974-12-11,,619 | 프로그 스플래시,Wheelbarrow Bull-Dog | Dropping the Dime | Picking the Dime,휠배로우 불도그 | 드라핑 더 다임 | 피킹 더 다임
Roman Reigns,로만 레인즈,male,upper,tweener,all_rounder,heel_style,,1985-05-25,,스피어 | 길로틴 초크,Superman Punch | Drive By | Samoan Drop | Flying Clothesline | Corner Clothesline | No Touch Plancha | Sit-out Powerbomb | Uppercut | Ura-nage,슈퍼맨 펀치 | 드라이브 바이 | 사모안 드랍 | 플라잉 클로스라인 | 코너 클로스라인 | 노터치 플란차 | 싯아웃 파워밤 | 어퍼컷 | 우라나게
Rusev,루세프,male,mid,heel,powerhouse,all_rounder,,1984-12-25,,애콜레이드 | 마치카 킥,Spinning Heel Kick,스피닝 힐 킥
Seth Rollins,세스 롤린스,male,upper,face,technician,all_rounder|high_flyer,,1986-05-28,,페디그리 | 스톰프,Blockbuster | Sling Blade | Falcon Arrow | Superplex | Frog Splash | Avada Kedavra | Super Kick | Turnbuckle Powerbomb | Tope Suicider,블록버스터 | 슬링 블레이드 | 팔콘 애로우 | 슈퍼플렉스 | 프로그 스플랙시 | 아바다 케다브라 | 슈퍼킥 | 턴버클 파워밤 | 토페 수어사이더
AJ Lee,AJ 리,female,upper,face,technician,,,1987-03-19,,블랙 위도우 | 샤이닝 위자드,Diving Crossbody,다이빙 크로스바디
